ID;OID;TYPE;NAME;LEVEL;PATIENT_INFO;SHELF_LIFE;STORAGE_TYPE;EXTENDED_LIFE;UNLIMITED_LIFE;MO_SIGN;FORMAT;START_DATE;END_DATE;IMPLEMENTATION_GUIDE;GIT_LINK;SHOW_PATIENT;IS_ONLINE;DAYS_COUNT;SERIES_REQUIRED
105;105;53;"Сертификат профилактических прививок (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"04.11.2021";"01.07.2025";"https://portal.egisz.rosminzdrav.ru/materials/3981";"1.2.643.5.1.13.13.15.46.1";"Нет";"Нет";;"Нет"
106;106;343;"Справка о постановке на учет по беременности (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"04.11.2021";"01.07.2025";"https://portal.egisz.rosminzdrav.ru/materials/3979";"1.2.643.5.1.13.13.15.60.1";"Нет";"Нет";;"Нет"
107;107;66;"Справка донору об освобождении от работы в день кровосдачи и предоставлении ему дополнительного дня отдыха (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"04.11.2021";"01.07.2025";"https://portal.egisz.rosminzdrav.ru/materials/3977";"1.2.643.5.1.13.13.15.49.1";"Нет";"Нет";;"Нет"
132;132;80;"Талон на оказание высокотехнологичной медицинской помощи (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"20.04.2023";"01.07.2025";"https://portal.egisz.rosminzdrav.ru/materials/4125";"1.2.643.5.1.13.13.15.73.1";"Нет";"Нет";;"Нет"
151;151;47;"Справка для получения путевки на санаторно-курортное лечение (CDA) Редакция 2";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"20.04.2023";;"https://portal.egisz.rosminzdrav.ru/materials/4315";"1.2.643.5.1.13.13.15.8.2";"Да";"Нет";;"Нет"
42;42;2;"Эпикриз по законченному случаю амбулаторный (CDA) Редакция 3";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"14.09.2020";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/2945";"1.2.643.5.1.13.13.15.26.3";"Да";"Нет";;"Нет"
45;45;11;"Протокол гемотрансфузии (CDA) Редакция 2";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"14.09.2020";"01.07.2025";"https://portal.egisz.rosminzdrav.ru/materials/2935";"1.2.643.5.1.13.13.15.24.2";"Нет";"Нет";;"Нет"
46;46;12;"Протокол прижизненного патологоанатомического исследования (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"14.09.2020";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/2941";"1.2.643.5.1.13.13.15.21.1";"Да";"Нет";;"Нет"
50;50;39;"Медицинская справка (врачебное профессионально-консультативное заключение) (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"10.12.2020";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/3757";"1.2.643.5.1.13.13.15.45.1";"Да";"Нет";;"Нет"
63;63;45;"Медицинское заключение об отсутствии медицинских противопоказаний к владению оружием (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"12.04.2021";;"https://portal.egisz.rosminzdrav.ru/materials/3827";"1.2.643.5.1.13.13.15.41.1";"Да";"Нет";;"Нет"
